Symbol,Name,Country,IPO Year,Volume,Sector,Industry
A,Agilent Technologies Inc. Common Stock,United States,1999,1366918,Industrials,Electrical Products
AA,Alcoa Corporation Common Stock ,United States,2016,7888482,Industrials,Aluminum
AACG,ATA Creativity Global American Depositary Shares,China,2008,30212,Real Estate,Other Consumer Services
AACI,Armada Acquisition Corp. I Common Stock,United States,2021,14307,Finance,Blank Checks
AACT,Ares Acquisition Corporation II Class A Ordinary Shares,,2023,1342576,Finance,Blank Checks
AADI,Aadi Bioscience Inc. Common Stock,United States,,91127,Health Care,Biotechnology: Pharmaceutical Preparations
AAGR,African Agriculture Holdings Inc. Common Stock,United States,2021,120949,Consumer Staples,Farming/Seeds/Milling
AAGRW,African Agriculture Holdings Inc. Warrant,United States,2021,2316,Consumer Staples,Farming/Seeds/Milling
AAL,American Airlines Group Inc. Common Stock,United States,,32710288,Consumer Discretionary,Air Freight/Delivery Services
AAMC,Altisource Asset Management Corp Com,United States,,7217,Finance,Real Estate
AAME,Atlantic American Corporation Common Stock,United States,,4637,Finance,Life Insurance
AAN,Aarons Holdings Company Inc. Common Stock ,United States,2020,125993,Consumer Discretionary,Diversified Commercial Services
AAOI,Applied Optoelectronics Inc. Common Stock,United States,2013,1505820,Technology,Semiconductors
AAON,AAON Inc. Common Stock,United States,,587493,Industrials,Industrial Machinery/Components
AAP,Advance Auto Parts Inc.,United States,,2559627,Consumer Discretionary,Auto & Home Supply Stores
AAPL,Apple Inc. Common Stock,United States,1980,52280051,Technology,Computer Manufacturing
AAT,American Assets Trust Inc. Common Stock,United States,2011,297308,Real Estate,Real Estate Investment Trusts
AB,AllianceBernstein Holding L.P.  Units,United States,,182949,Finance,Investment Managers
ABAT,American Battery Technology Company Common Stock,United States,,401052,Basic Materials,Metal Mining
ABBV,AbbVie Inc. Common Stock,United States,2012,5533467,Health Care,Biotechnology: Pharmaceutical Preparations
ABCB,Ameris Bancorp Common Stock,United States,1994,165009,Finance,Major Banks
ABCL,AbCellera Biologics Inc. Common Shares,Canada,2020,2888465,Health Care,Pharmaceuticals and Biotechnology
ABEO,Abeona Therapeutics Inc. Common Stock,United States,,461699,Health Care,Biotechnology: Pharmaceutical Preparations
ABEV,Ambev S.A. American Depositary Shares (Each representing 1 Common Share),Brazil,2013,15592997,Consumer Staples,Beverages (Production/Distribution)
ABG,Asbury Automotive Group Inc Common Stock,United States,2002,135103,Consumer Discretionary,Retail-Auto Dealers and Gas Stations
ABIO,ARCA biopharma Inc. Common Stock,United States,,51074,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances
ABL,Abacus Life Inc. Class A Common Stock,United States,2020,88493,Finance,Investment Managers
ABLLL,Abacus Life Inc. 9.875% Fixed Rate Senior Notes due 2028,United States,,12538,Finance,Investment Managers
ABLLW,Abacus Life Inc. Warrant,United States,2020,213833,Finance,Investment Managers
ABLV,Able View Global Inc. Class B Ordinary Shares,China,,37759,Consumer Discretionary,Other Consumer Services
ABM,ABM Industries Incorporated Common Stock,United States,,274663,Finance,Diversified Commercial Services
ABNB,Airbnb Inc. Class A Common Stock,United States,2020,5741611,Finance,Diversified Commercial Services
ABOS,Acumen Pharmaceuticals Inc. Common Stock,United States,2021,243883,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ABR,Arbor Realty Trust Common Stock,United States,2004,2500744,Real Estate,Real Estate Investment Trusts
ABR^D,Arbor Realty Trust 6.375% Series D Cumulative Redeemable Preferred Stock Liquidation Preference $25.00 per Share,United States,,13333,,
ABR^E,Arbor Realty Trust 6.25% Series E Cumulative Redeemable Preferred Stock,United States,,6267,,
ABR^F,Arbor Realty Trust 6.25% Series F Fixed-to-Floating Rate Cumulative Redeemable Preferred Stock Liquidation Preference $25.00 per share,United States,,7463,,
ABSI,Absci Corporation Common Stock,United States,2021,1757859,Health Care,Biotechnology: Commercial Physical & Biological Resarch
ABT,Abbott Laboratories Common Stock,United States,,4771127,Health Care,Biotechnology: Pharmaceutical Preparations
ABTS,Abits Group Inc Ordinary Shares,China,,130716,Technology,Computer Software: Programming Data Processing
